State,District,Taluka,Vllage,Faliyu,Anganwadi
Gujarat,Dang,Waghai,Nani Dabdar,Uplu faliyu,Nanidabdar AWC 
Gujarat,Dang,Waghai,Nani Dabdar,Uplu faliyu,Nanidabdar AWC 
Gujarat,Dang,Waghai,Nani Dabdar,Uplu faliyu,Nanidabdar AWC 
Gujarat,Dang,Waghai,Nani Dabdar,Uplu faliyu,Nanidabdar AWC 
Gujarat,Dang,Waghai,Nani Dabdar,Uplu faliyu,Nanidabdar AWC 
Gujarat,Dang,Waghai,Nani Dabdar,Nichlu faliyu,Nanidabdar AWC 
Gujarat,Dang,Waghai,Nani Dabdar,Nichlu faliyu,Nanidabdar AWC 
Gujarat,Dang,Waghai,Nani Dabdar,Nichlu faliyu,Nanidabdar AWC 
Gujarat,Dang,Waghai,Nani Dabdar,Nichlu faliyu,Nanidabdar AWC 
Gujarat,Dang,Waghai,Nani Dabdar,Nichlu faliyu,Nanidabdar AWC 
Gujarat,Dang,Waghai,Nani Dabdar,Shed faliyu,Nanidabdar AWC 
Gujarat,Dang,Waghai,Nani Dabdar,Shed faliyu,Nanidabdar AWC 
Gujarat,Dang,Waghai,Nani Dabdar,Shed faliyu,Nanidabdar AWC 
Gujarat,Dang,Waghai,Nani Dabdar,Shed faliyu,Nanidabdar AWC 
Gujarat,Dang,Waghai,Nani Dabdar,Shed faliyu,Nanidabdar AWC 
Gujarat,Dang,Waghai,Nani Dabdar,Patiya faliyu,Nanidabdar AWC 
Gujarat,Dang,Waghai,Nani Dabdar,Patiya faliyu,Nanidabdar AWC 
Gujarat,Dang,Waghai,Nani Dabdar,Patiya faliyu,Nanidabdar AWC 
Gujarat,Dang,Waghai,Nani Dabdar,Patiya faliyu,Nanidabdar AWC 
Gujarat,Dang,Waghai,Nani Dabdar,Patiya faliyu,Nanidabdar AWC 
Gujarat,Dang,Waghai,Nanapada,Uplu faliyu,Nanapada AWC
Gujarat,Dang,Waghai,Nanapada,Uplu faliyu,Nanapada AWC
Gujarat,Dang,Waghai,Nanapada,Uplu faliyu,Nanapada AWC
Gujarat,Dang,Waghai,Nanapada,Uplu faliyu,Nanapada AWC
Gujarat,Dang,Waghai,Nanapada,Uplu faliyu,Nanapada AWC
Gujarat,Dang,Waghai,Nanapada,Nichlu faliyu,Nanapada AWC
Gujarat,Dang,Waghai,Nanapada,Nichlu faliyu,Nanapada AWC
Gujarat,Dang,Waghai,Nanapada,Nichlu faliyu,Nanapada AWC
Gujarat,Dang,Waghai,Nanapada,Nichlu faliyu,Nanapada AWC
Gujarat,Dang,Waghai,Nanapada,Nichlu faliyu,Nanapada AWC
Gujarat,Dang,Waghai,Nanapada,Kuva faliyu,Nanapada AWC
Gujarat,Dang,Waghai,Nanapada,Kuva faliyu,Nanapada AWC
Gujarat,Dang,Waghai,Nanapada,Kuva faliyu,Nanapada AWC
Gujarat,Dang,Waghai,Nanapada,Kuva faliyu,Nanapada AWC
Gujarat,Dang,Waghai,Nanapada,Kuva faliyu,Nanapada AWC
Gujarat,Dang,Waghai,Bordahad,Bordahad,Bordahad AWC
Gujarat,Dang,Waghai,Bordahad,Bordahad,Bordahad AWC
Gujarat,Dang,Waghai,Bordahad,Bordahad,Bordahad AWC
Gujarat,Dang,Waghai,Bordahad,Bordahad,Bordahad AWC
Gujarat,Dang,Waghai,Bordahad,Bordahad,Bordahad AWC
